MOENumber,SchoolType,SchoolName
118,Secondary (Year 9-15),Deepwater Sealion College
119,Secondary (Year 9-15),Kelp Petrel College
120,Secondary (Year 9-15),Kina Hapuku College
121,Secondary (Year 9-15),Marina Jellyfish College
122,Secondary (Year 9-15),Rising Anemone College
123,Secondary (Year 9-15),Koru Trevally College
124,Secondary (Year 9-15),Wave Swordfish College
125,Composite,Kina Stingray Area School
126,Secondary (Year 9-15),Current Kea College
127,Secondary (Year 9-15),Pohutukawa Octopus College
129,Secondary (Year 9-15),Harakeke Turtle College
130,Secondary (Year 9-15),Driftwood Shrimp College
131,Secondary (Year 9-15),Blue Kea College
132,Secondary (Year 9-15),Rangitahi Stingray College
133,Composite,Island Shark Area School
134,Secondary (Year 7-15),Bright Kingfisher College
135,Secondary (Year 9-15),Turtle Stingray College
136,Secondary (Year 9-15),Mangrove Wrasse College
137,Secondary (Year 9-15),Rangitahi Weka College
138,Secondary (Year 9-15),Anchor Weka College
139,Secondary (Year 9-15),Seahorse Pipit College
140,Secondary (Year 9-15),Shore Weka College
141,Secondary (Year 7-15),Pebble Orca College
142,Secondary (Year 9-15),Blue Dolphin College
143,Secondary (Year 9-15),Ocean Mussel College
144,Secondary (Year 9-15),Foam Octopus College
145,Secondary (Year 9-15),Driftwood Flounder College
146,Secondary (Year 9-15),Marina Petrel College
148,Secondary (Year 9-15),Koru Snapper College
151,Secondary (Year 9-15),Turtle Weka College
152,Secondary (Year 9-15),Coral Rockpool College
153,Secondary (Year 9-15),Marina Skink College
154,Secondary (Year 9-15),Shore Moki College
157,Secondary (Year 9-15),Snapper Kea College
158,Secondary (Year 9-15),Tui Kereru College
159,Secondary (Year 9-15),Kauri Marlin College
160,Secondary (Year 9-15),Kowhai Bluefish College
161,Full Primary,Rockpool Prawn Primary School
162,Secondary (Year 7-15),Shell Limpet College
164,Secondary (Year 7-15),Tui Skink College
166,Secondary (Year 9-15),Current Flounder College
167,Secondary (Year 9-15),Pebble Manta College
169,Secondary (Year 9-15),Penguin Anemone College
170,Secondary (Year 9-15),Seahorse Trevally College
171,Secondary (Year 9-15),Pacific Koura College
172,Secondary (Year 9-15),Ocean Scallop College
173,Secondary (Year 9-15),Koru Jellyfish College
174,Secondary (Year 7-15),Tidal Limpet College
175,Secondary (Year 7-15),Silver Dolphin College
176,Full Primary,Foam Nautilus Primary School
177,Secondary (Year 9-15),Pounamu Octopus College
179,Secondary (Year 9-15),Pebble Ruru College
180,Secondary (Year 9-15),Bright Tuna College
181,Secondary (Year 9-15),Saltwater Korora College
183,Secondary (Year 9-15),Bright Kakariki College
185,Composite,Moana Paua Area School
187,Secondary (Year 9-15),Tui Tern College
188,Secondary (Year 9-15),Wave Cockle College
189,Secondary (Year 9-15),Paua Eel College
190,Secondary (Year 9-15),Misty Sponge College
191,Secondary (Year 7-15),Current Heron College
192,Secondary (Year 9-15),Bright Kelp College
195,Secondary (Year 9-15),Misty Marlin College
196,Secondary (Year 9-15),Sunny Korora College
197,Secondary (Year 9-15),Sunny Pipit College
198,Secondary (Year 9-15),Western Barracuda College
199,Secondary (Year 9-15),Silver Kakapo College
200,Secondary (Year 9-15),Turtle Korora College
201,Secondary (Year 7-15),Hidden Piwakawaka College
202,Secondary (Year 9-15),Kina Shellfish College
203,Secondary (Year 9-15),Deepwater Pipit College
204,Secondary (Year 7-15),Moana Oystercatcher College
205,Secondary (Year 9-15),Western Seaweed College
206,Composite,Seahorse Orca Area School
208,Secondary (Year 9-15),Harbour Koura College
209,Secondary (Year 9-15),Shell Hoiho College
210,Secondary (Year 9-15),Bay Nautilus College
211,Secondary (Year 7-15),Moana Penguin College
212,Composite,Seabreeze Kina Area School
214,Secondary (Year 7-15),Western Ruru College
215,Secondary (Year 9-15),Ocean Kelp College
216,Secondary (Year 9-15),Rimu Tarakihi College
217,Secondary (Year 9-15),Wai Shark College
218,Secondary (Year 9-15),Misty Seahorse College
219,Secondary (Year 9-15),Wave Dolphin College
220,Secondary (Year 7-15),Harbour Pufferfish College
221,Composite,Foam Moki Area School
222,Secondary (Year 7-15),Wai Shellfish College
223,Secondary (Year 9-15),Reef Orca College
224,Secondary (Year 7-15),Tern Koura College
225,Secondary (Year 7-15),Nikau Hapuku College
226,Secondary (Year 9-15),Rimu Shellfish College
227,Secondary (Year 9-15),Cove Tarakihi College
228,Secondary (Year 9-15),Rising Kea College
229,Secondary (Year 9-15),Ocean Pufferfish College
230,Secondary (Year 7-15),Misty Bluefish College
231,Composite,Bay Jellyfish Area School
232,Secondary (Year 9-15),Coastal Heron College
233,Secondary (Year 9-15),Northern Mussel College
234,Secondary (Year 9-15),Kowhai Prawn College
235,Secondary (Year 9-15),Pohutukawa Pipit College
236,Secondary (Year 9-15),Kauri Swordfish College
237,Secondary (Year 9-15),Turtle Moki College
240,Secondary (Year 7-15),Northern Seaweed College
241,Secondary (Year 9-15),Golden Trevally College
242,Secondary (Year 7-15),Snapper Pufferfish College
243,Secondary (Year 9-15),Driftwood Turtle College
244,Secondary (Year 7-15),Pounamu Prawn College
245,Secondary (Year 9-15),Paua Coral College
246,Secondary (Year 7-15),Coastal Limpet College
247,Secondary (Year 9-15),Blue Octopus College
248,Secondary (Year 9-15),Mussel Tui College
249,Secondary (Year 9-15),TotaraCoastal Tarakihi College
250,Secondary (Year 9-15),Whale College
251,Secondary (Year 9-15),Dolphin Anemone College
252,Secondary (Year 9-15),Estuary Trevally College
253,Secondary (Year 9-15),Current Paua College
254,Secondary (Year 9-15),Pounamu Starfish College
255,Secondary (Year 9-15),Island Swordfish College
256,Secondary (Year 7-15),Kauri Piper College
257,Secondary (Year 9-15),Korora Korora College
258,Secondary (Year 9-15),Kina Seaweed College
259,Secondary (Year 9-15),Seabreeze Limpet College
260,Secondary (Year 7-15),Rangitahi Nautilus College
261,Secondary (Year 9-15),Sunny Marlin College
262,Secondary (Year 9-15),Paua Barracuda College
263,Composite,Manuka Manta Area School
265,Secondary (Year 7-15),Coral Kea College
266,Composite,Sandy Bluefish Area School
268,Secondary (Year 9-15),Kelp Eel College
269,Secondary (Year 9-15),Foam Seahorse College
272,Secondary (Year 9-15),Koru Kelp College
273,Secondary (Year 9-15),Misty Ruru College
274,Secondary (Year 9-15),Estuary Coral College
275,Secondary (Year 9-15),Harakeke Kingfisher College
276,Secondary (Year 9-15),Mussel Hoiho College
277,Secondary (Year 9-15),Moana Kelp College
278,Composite,Pohutukawa Swordfish Area School
279,Composite,Shell Manta Area School
280,Composite,Kowhai Stingray Area School
281,Composite,Foam Eel Area School
282,Full Primary,Silver Kingfisher Primary School
283,Composite,Snapper Turtle Area School
284,Secondary (Year 9-15),Ocean Moana College
286,Secondary (Year 9-15),Estuary Bluefish College
287,Secondary (Year 7-15),Harbour Manta College
288,Secondary (Year 9-15),Koru Tuna College
289,Secondary (Year 9-15),Mussel Rockpool College
290,Composite,Hidden Kahawai Area School
291,Composite,Nikau Jellyfish Area School
292,Secondary (Year 7-15),Korora Limpet College
293,Secondary (Year 9-15),Coral Ruru College
294,Secondary (Year 9-15),Totara Seahorse College
295,Secondary (Year 9-15),Reef Wrasse College
296,Secondary (Year 9-15),Whale Sponge College
297,Composite,Kelp Sponge Area School
298,Secondary (Year 9-15),Island Cockle College
299,Composite,Wai Orca Area School
300,Composite,Northern Prawn Area School
301,Secondary (Year 9-15),Tern Dolphin College
303,Secondary (Year 9-15),Kelp Starfish College
304,Secondary (Year 9-15),Mangrove Heron College
305,Secondary (Year 7-15),Totara Skink College
306,Composite,Dolphin Jellyfish Area School
307,Secondary (Year 7-15),Tern Shark College
308,Composite,Golden Barracuda Area School
309,Composite,Saltwater Ruru Area School
310,Composite,Southern Mussel Area School
311,Composite,Tern Tuna Area School
312,Secondary (Year 9-15),Snapper Kina College
314,Secondary (Year 9-15),Anchor Swordfish College
315,Secondary (Year 9-15),Seastar Kakapo College
316,Secondary (Year 9-15),Mangrove Marlin College
317,Composite,Moana Snapper Area School
318,Composite,Reef Gannet Area School
319,Secondary (Year 9-15),Sunny Paua College
320,Secondary (Year 9-15),Kauri Moki College
321,Secondary (Year 9-15),Paua Kingfisher College
324,Secondary (Year 9-15),Kauri Sealion College
325,Secondary (Year 7-15),Seashell Shrimp College
326,Secondary (Year 7-15),Golden Anemone College
327,Secondary (Year 9-15),Driftwood Barracuda College
328,Secondary (Year 9-15),Seagrass Skink College
329,Full Primary,Tui Manta Primary School
330,Secondary (Year 9-15),Mangrove Skink College
331,Secondary (Year 7-15),Reef Kelp College
333,Composite,Kowhai Orca Area School
334,Secondary (Year 9-15),Driftwood Piper College
335,Composite,Sunny Bluefish Area School
336,Secondary (Year 9-15),Lagoon Scallop College
337,Secondary (Year 7-15),Tidal Sealion College
338,Secondary (Year 7-15),Estuary Rockpool College
339,Secondary (Year 7-15),Sandy Shellfish College
340,Secondary (Year 9-15),Driftwood Petrel College
341,Composite,Tidal Starfish Area School
343,Secondary (Year 9-15),Island Kelp College
344,Full Primary,Paua Kina Primary School
346,Secondary (Year 7-15),Rimu Cockle College
347,Secondary (Year 9-15),Paua Pipit College
348,Secondary (Year 7-15),Cove Swordfish College
349,Secondary (Year 7-15),Tern Nautilus College
350,Composite,Pounamu Ruru Area School
351,Secondary (Year 9-15),Tidal Moki College
352,Secondary (Year 7-15),Snapper Orca College
353,Secondary (Year 7-15),Seagrass Flounder College
354,Secondary (Year 7-15),Northern Turtle College
357,Secondary (Year 7-15),Penguin Marlin College
358,Secondary (Year 9-15),Current Shrimp College
359,Secondary (Year 9-15),Wave Dotterel College
360,Secondary (Year 9-15),Kina Anemone College
361,Secondary (Year 9-15),Mussel Kina College
362,Secondary (Year 7-15),Seagrass Kea College
363,Full Primary,Wai Cockle Primary School
365,Secondary (Year 9-15),Wai Kina College
366,Secondary (Year 9-15),Western Paua College
368,Full Primary,Koru Sealion Primary School
369,Secondary (Year 9-15),Tern Flounder College
370,Composite,Seagrass Weka Area School
371,Secondary (Year 7-15),Blue Piper College
372,Secondary (Year 9-15),Seabreeze Bluefish College
373,Secondary (Year 7-15),Dolphin Seal College
374,Secondary (Year 9-15),Kowhai Kahawai College
375,Composite,Wave Albatross Area School
376,Secondary (Year 9-15),Manuka Bluefish College
377,Secondary (Year 9-15),Deepwater Tuna College
378,Secondary (Year 9-15),Pohutukawa Seaweed College
380,Secondary (Year 7-15),Shell Turtle College
381,Secondary (Year 7-15),Paua Gannet College
382,Secondary (Year 9-15),Southern Jellyfish College
383,Secondary (Year 9-15),Deepwater Prawn College
384,Secondary (Year 9-15),Paua Trevally College
386,Composite,Manuka Skink Area School
387,Secondary (Year 7-15),Estuary Pufferfish College
390,Composite,Ocean Fantail Area School
391,Secondary (Year 7-15),Sandy Pufferfish College
392,Secondary (Year 7-15),Kauri Barracuda College
393,Secondary (Year 9-15),Dolphin Tarakihi College
394,Composite,Seahorse Rockpool Area School
395,Secondary (Year 7-15),Deepwater Cockle College
396,Secondary (Year 9-15),Nikau Seaweed College
397,Secondary (Year 7-15),Bay Sealion College
398,Full Primary,Eastern Prawn Primary School
399,Secondary (Year 9-15),Kauri Pufferfish College
400,Secondary (Year 7-15),Harakeke Crab College
401,Secondary (Year 7-15),Tidal Prawn College
402,Composite,Blue Jellyfish Area School
404,Secondary (Year 7-15),Driftwood Seal College
405,Secondary (Year 7-15),Coral Nautilus College
408,Secondary (Year 7-15),Misty Scallop College
409,Secondary (Year 7-15),Manuka Shrimp College
418,Composite,Marina Cockle Area School
419,Composite,Northern Octopus Area School
421,Composite,Bright Marlin Area School
422,Full Primary,Rimu Tuna Primary School
424,Composite,Bay Kahawai Area School
425,Secondary (Year 9-15),Pebble Dotterel College
428,Composite,Ocean Paua Area School
429,Composite,Pacific Pipit Area School
432,Composite,Tui Kina Area School
435,Secondary (Year 9-15),Kauri Bluefish College
436,Composite,Turtle Kelp Area School
439,Composite,Rockpool Kea Area School
440,Composite,Seastar Dotterel Area School
441,Composite,Seashell Cockle Area School
443,Composite,Sandy Piwakawaka Area School
451,Composite,Current Barracuda Area School
452,Composite,Reef Kereru Area School
453,Full Primary,Wave Koura Primary School
454,Secondary (Year 7-15),Blue Stingray College
456,Composite,Pounamu Moki Area School
460,Composite,Korora Shark Area School
462,Secondary (Year 9-15),Mangrove Gannet College
463,Composite,Marina Korora Area School
465,Composite,Eastern Starfish Area School
466,Composite,Blue Rockpool Area School
471,Secondary (Year 7-15),Pacific Shellfish College
472,Composite,Current Seaweed Area School
476,Composite,Tui Stingray Area School
478,Secondary (Year 9-15),Rockpool Weka College
481,Composite,Coral Petrel Area School
482,Secondary (Year 7-15),Whale Gannet College
484,Secondary (Year 7-15),Hidden Moki College
485,Full Primary,Seagrass Shrimp Primary School
487,Composite,Moana Pipit Area School
488,Secondary (Year 9-15),Dolphin Turtle College
491,Secondary (Year 7-15),Mangrove Crab College
494,Secondary (Year 7-15),Tui Jellyfish College
495,Secondary (Year 7-15),Eastern Hapuku College
496,Composite,Island Tuna Area School
497,Composite,Korora Kakapo Area School
498,Correspondence School,Cove Nautilus Correspondence School
506,Composite,Aqua Flounder Area School
514,Specialist School,Kelp Fantail Specialist School
518,Specialist School,Tern Stingray Specialist School
522,Specialist School,Current Kakapo Specialist School
525,Specialist School,Sunny Gannet Specialist School
527,Composite,Sandy Kingfisher Area School
528,Composite,Mussel Wrasse Area School
530,Secondary (Year 7-15),Golden Penguin College
531,Secondary (Year 7-15),Nikau Albatross College
532,Secondary (Year 7-15),Rising Skink College
533,Secondary (Year 7-15),Kina Snapper College
536,Secondary (Year 7-15),Sandy Ruru College
539,Composite (Year 1-10),Snapper Swordfish Area School
544,Composite,Wai Kelp Area School
545,Composite (Year 1-10),Kauri Starfish Area School
546,Secondary (Year 7-15),Totara Wrasse College
548,Secondary (Year 7-15),Rockpool Shellfish College
549,Composite,Mussel Nautilus Area School
550,Composite,Aqua Orca Area School
551,Composite,Blue Turtle Area School
552,Secondary (Year 7-15),Current Hoiho College
553,Secondary (Year 7-10),Seahorse Moana College
554,Full Primary,Cove Coral Primary School
555,Teen Parent Unit,Nikau Snapper Learning Centre
557,Full Primary,Marina Seal Primary School
558,Composite,Snapper Dotterel Area School
559,Composite,Seahorse Koura Area School
563,Secondary (Year 11-15),Island Hoiho College
564,Secondary (Year 11-15),Pohutukawa Coral College
565,Full Primary,Misty Orca Primary School
566,Full Primary,Tern Octopus Primary School
567,Composite,Totara Tern Area School
570,Contributing,Rockpool Hapuku Primary School
571,Composite,Coral Seal Area School
572,Full Primary,Bay Petrel Primary School
577,Contributing,Saltwater Cockle Primary School
579,Full Primary,Moana Crab Primary School
584,Full Primary,Kowhai Shellfish Primary School
585,Full Primary,Totara Orca Primary School
586,Full Primary,Snapper Cockle Primary School
588,Full Primary,Estuary Hapuku Primary School
589,Composite,Tern Moki Area School
593,Contributing,Koru Weka Primary School
594,Contributing,Blue Orca Primary School
595,Full Primary,Pounamu Snapper Primary School
600,Composite,Marina Kelp Area School
601,Full Primary,Anchor Starfish Primary School
603,Composite,Ocean Shellfish Area School
604,Full Primary,Seashell Shellfish Primary School
605,Full Primary,Korora Koura Primary School
607,Full Primary,Tern Ruru Primary School
608,Composite (Year 1-10),Misty Cockle Area School
610,Full Primary,Seashell Coral Primary School
612,Teen Parent Unit,Sunny Starfish Learning Centre
614,Contributing,Bay Pipit Primary School
615,Secondary (Year 11-15),Reef Sealion College
616,Teen Parent Unit,Lagoon Eel Learning Centre
618,Contributing,Rangitahi Sealion Primary School
620,Secondary (Year 7-15),Sandy Seahorse College
622,Composite,Tern Kakariki Area School
624,Composite,Western Rockpool Area School
625,Contributing,Bay Stingray Primary School
628,Composite,Korora Weka Area School
630,Composite,Kelp Turtle Area School
631,Composite,Saltwater Mussel Area School
632,Secondary (Year 9-15),Seashell Trevally College
633,Full Primary,Harakeke Seaweed Primary School
639,Teen Parent Unit,Bay Orca Learning Centre
641,Composite,Sandy Kakariki Area School
647,Full Primary,Hidden Fantail Primary School
648,Full Primary,Penguin Kingfisher Primary School
651,Composite,Bright Tern Area School
654,Secondary (Year 9-15),Penguin Trevally College
655,Contributing,Deepwater Barracuda Primary School
658,Composite,Southern Moana Area School
660,Full Primary,Aqua Scallop Primary School
661,Secondary (Year 7-15),Clearwater Shellfish College
670,Teen Parent Unit,Shell Orca Learning Centre
671,Full Primary,Clearwater Penguin Primary School
674,Teen Parent Unit,Sunny Piper Learning Centre
682,Composite,Nikau Starfish Area School
683,Composite,Wave Seahorse Area School
684,Full Primary,Kelp Trevally Primary School
685,Contributing,Pohutukawa Seal Primary School
686,Full Primary,Mangrove Pipit Primary School
688,Contributing,Paua Manta Primary School
695,Secondary (Year 9-15),Nikau Stingray College
696,Full Primary,Totara Oystercatcher Primary School
704,Composite,Coral Kingfisher Area School
705,Teen Parent Unit,Pounamu Skink Learning Centre
706,Composite,Northern Kahawai Area School
707,Composite,Rockpool Coral Area School
708,Secondary (Year 7-10),Mangrove Coral College
709,Secondary (Year 7-10),Island Pipit College
710,Full Primary,Moana Seal Primary School
712,Full Primary,Snapper Ruru Primary School
717,Teen Parent Unit,Saltwater Piwakawaka Learning Centre
719,Composite,Deepwater Shrimp Area School
723,Full Primary,Pohutukawa Skink Primary School
724,Contributing,Paua Prawn Primary School
725,Full Primary,Tui Limpet Primary School
728,Full Primary,Ocean Piper Primary School
729,Teen Parent Unit,Cove Manta Learning Centre
730,Full Primary,Rimu Flounder Primary School
737,Composite,Golden Shellfish Area School
738,Full Primary,Dolphin Ruru Primary School
739,Secondary (Year 9-15),Reef Flounder College
742,Composite,Turtle Albatross Area School
743,Contributing,Driftwood Moana Primary School
746,Full Primary,Whale Seaweed Primary School
747,Contributing,Rangitahi Piper Primary School
748,Full Primary,Pohutukawa Shark Primary School
752,Full Primary,Aqua Korora Primary School
764,Contributing,Pounamu Crab Primary School
767,Contributing,Paua Flounder Primary School
774,Full Primary,Western Stingray Primary School
778,Composite,Tidal Scallop Area School
779,Full Primary,Nikau Orca Primary School
780,Contributing,Golden Dotterel Primary School
781,Full Primary,Dolphin Koura Primary School
787,Secondary (Year 7-15),Seabreeze Moana College
834,Composite,Pebble Wrasse Area School
840,Specialist School,Seagrass Sponge Specialist School
846,Contributing,Lagoon Starfish Primary School
847,Composite,Aqua Seaweed Area School
849,Full Primary,Seabreeze Scallop Primary School
854,Secondary (Year 9-15),Shell Scallop College
858,Contributing,Tui Piwakawaka Primary School
871,Composite (Year 1-10),Cove Rockpool Area School
872,Secondary (Year 7-15),Sandy Trevally College
873,Secondary (Year 9-15),Pacific Albatross College
874,Secondary (Year 9-15),Wave Snapper College
876,Restricted Composite (Year 7-10),Rangitahi Petrel Area School
877,Restricted Composite (Year 7-10),Seahorse Shark Area School
878,Composite,Wave Tui Area School
879,Full Primary,Golden Kahawai Primary School
880,Full Primary,Tidal Manta Primary School
881,Secondary (Year 9-15),Current Piper College
896,Secondary (Year 7-15),Foam Snapper College
900,Composite,Seahorse Whale Area School
902,Secondary (Year 9-15),Rising Tern College
903,Specialist School,Current Rockpool Specialist School
904,Composite,Penguin Kina Area School
921,Secondary (Year 9-15),Wave Kakapo College
932,Full Primary,Paua Bluefish Primary School
941,Composite,Paua Dolphin Area School
946,Full Primary,Tidal Shrimp Primary School
949,Secondary (Year 7-15),Western Kahawai College
955,Full Primary,Tui Octopus Primary School
956,Full Primary,Misty Korora Primary School
958,Composite,Ocean Kina Area School
959,Full Primary,Harbour Prawn Primary School
960,Full Primary,Northern Tui Primary School
961,Secondary (Year 7-15),Snapper Eel College
962,Full Primary,Deepwater Ruru Primary School
967,Composite,Seashell Rockpool Area School
968,Composite,Korora Kakariki Area School
1000,Full Primary,Kina Penguin Primary School
1001,Full Primary,Misty Tarakihi Primary School
1002,Full Primary,Tui Hoiho Primary School
1004,Contributing,Driftwood Orca Primary School
1007,Specialist School,Harakeke Petrel Specialist School
1008,Intermediate,Paua Wrasse Intermediate School
1009,Contributing,Southern Fantail Primary School
1011,Contributing,Silver Manta Primary School
1013,Full Primary,Tidal Paua Primary School
1014,Full Primary,Western Dolphin Primary School
1015,Contributing,Seastar Stingray Primary School
1016,Contributing,Moana Limpet Primary School
1017,Full Primary,Penguin Tarakihi Primary School
1018,Contributing,Manuka Heron Primary School
1019,Contributing,Marina Kingfisher Primary School
1020,Full Primary,Ocean Tarakihi Primary School
1021,Contributing,Golden Pufferfish Primary School
1022,Intermediate,Rising Cockle Intermediate School
1023,Contributing,Western Marlin Primary School
1024,Full Primary,Shell Dolphin Primary School
1025,Intermediate,Dolphin Korora Intermediate School
1026,Contributing,Manuka Stingray Primary School
1027,Contributing,Blue Tui Primary School
1028,Contributing,Reef Kahawai Primary School
1029,Intermediate,Pounamu Pufferfish Intermediate School
1030,Contributing,Southern Trevally Primary School
1031,Full Primary,Totara Penguin Primary School
1032,Contributing,Deepwater Anemone Primary School
1033,Full Primary,Nikau Nautilus Primary School
1034,Contributing,Estuary Pipit Primary School
1035,Full Primary,Mangrove Moana Primary School
1036,Full Primary,Driftwood Bluefish Primary School
1037,Contributing,Rockpool Crab Primary School
1038,Full Primary,Saltwater Kakariki Primary School
1039,Contributing,Seashell Tui Primary School
1042,Full Primary,Harbour Kahawai Primary School
1043,Full Primary,Anchor Limpet Primary School
1044,Full Primary,Manuka Octopus Primary School
1046,Composite,Rangitahi Orca Area School
1047,Full Primary,Tern Whale Primary School
1048,Full Primary,Cove Seahorse Primary School
1049,Contributing,Sunny Penguin Primary School
1050,Contributing,Rimu Korora Primary School
1052,Contributing,Reef Rockpool Primary School
1053,Full Primary,Shore Seal Primary School
1055,Composite (Year 1-10),Tui Turtle Area School
1056,Full Primary,Lagoon Kelp Primary School
1058,Contributing,Blue Whale Primary School
1059,Contributing,Shell Heron Primary School
1060,Full Primary,Silver Skink Primary School
1061,Contributing,Pebble Marlin Primary School
1062,Contributing,Shore Pufferfish Primary School
1063,Full Primary,Wai Rockpool Primary School
1065,Full Primary,Totara Rockpool Primary School
1066,Full Primary,Shore Petrel Primary School
1068,Full Primary,Cove Weka Primary School
1069,Full Primary,Anchor Pufferfish Primary School
1071,Full Primary,Rangitahi Kakapo Primary School
1072,Full Primary,Marina Shark Primary School
1073,Full Primary,Harakeke Penguin Primary School
1074,Full Primary,Nikau Shellfish Primary School
1075,Full Primary,Foam Shark Primary School
1076,Full Primary,Harakeke Shellfish Primary School
1077,Contributing,Moana Kingfisher Primary School
1078,Contributing,Snapper Moki Primary School
1080,Full Primary,Blue Limpet Primary School
1081,Full Primary,Rising Oystercatcher Primary School
1082,Full Primary,Wave Flounder Primary School
1083,Full Primary,Golden Prawn Primary School
1084,Contributing,Golden Dolphin Primary School
1085,Full Primary,Silver Penguin Primary School
1086,Full Primary,Whale Flounder Primary School
1087,Contributing,Sunny Ruru Primary School
1089,Full Primary,Estuary Petrel Primary School
1092,Full Primary,Moana Anemone Primary School
1093,Full Primary,Dolphin Penguin Primary School
1094,Contributing,Tui Moana Primary School
